antecedent_str,consequent_str,support,confidence,lift,leverage,conviction,antecedent_items,consequent_items,antecedent_len,consequent_len
"Tomato Sauce, Bread","Cheese, Butter",0.034,0.3863636363636364,4.255106127352824,0.0260096,1.4816592592592595,"['Tomato Sauce', 'Bread']","['Cheese', 'Butter']",2,2
"Cheese, Butter","Tomato Sauce, Bread",0.034,0.3744493392070485,4.255106127352824,0.0260096,1.4579154929577467,"['Cheese', 'Butter']","['Tomato Sauce', 'Bread']",2,2
"Coffee, Pasta","Cheese, Tomato Sauce",0.0328,0.5578231292517007,4.251700680272109,0.02508544,1.9648246153846156,"['Coffee', 'Pasta']","['Cheese', 'Tomato Sauce']",2,2
"Cheese, Tomato Sauce","Coffee, Pasta",0.0328,0.25,4.251700680272109,0.02508544,1.2549333333333335,"['Cheese', 'Tomato Sauce']","['Coffee', 'Pasta']",2,2
"Pasta, Sugar, Milk","Cheese, Tomato Sauce",0.0232,0.5576923076923077,4.250703564727955,0.01774208,1.9642434782608698,"['Pasta', 'Sugar', 'Milk']","['Cheese', 'Tomato Sauce']",3,2
"Tomato Sauce, Butter","Cheese, Bread",0.034,0.4028436018957346,4.231550440081246,0.02596512,1.5151809523809525,"['Tomato Sauce', 'Butter']","['Cheese', 'Bread']",2,2
"Cheese, Bread","Tomato Sauce, Butter",0.034,0.35714285714285715,4.231550440081246,0.02596512,1.4242666666666668,"['Cheese', 'Bread']","['Tomato Sauce', 'Butter']",2,2
"Pasta, Sugar","Cheese, Tomato Sauce",0.0328,0.5540540540540541,4.222972972972973,0.02503296,1.9482181818181818,"['Pasta', 'Sugar']","['Cheese', 'Tomato Sauce']",2,2
"Cheese, Tomato Sauce","Pasta, Sugar",0.0328,0.25,4.222972972972973,0.02503296,1.2544,"['Cheese', 'Tomato Sauce']","['Pasta', 'Sugar']",2,2
"Diapers, Water","Milk, Baby Wipes",0.0236,0.3710691823899371,4.216695254431103,0.0180032,1.4500799999999998,"['Diapers', 'Water']","['Milk', 'Baby Wipes']",2,2
"Milk, Baby Wipes","Diapers, Water",0.0236,0.2681818181818182,4.216695254431103,0.0180032,1.279552795031056,"['Milk', 'Baby Wipes']","['Diapers', 'Water']",2,2
"Wine, Coffee","Cheese, Milk",0.0212,0.4953271028037384,4.211965159895734,0.016166720000000002,1.7484592592592594,"['Wine', 'Coffee']","['Cheese', 'Milk']",2,2
"Tomato Sauce, Bread, Butter","Cheese, Jam",0.0204,0.2947976878612717,4.211395540875309,0.015556,1.3187704918032785,"['Tomato Sauce', 'Bread', 'Butter']","['Cheese', 'Jam']",3,2
"Cheese, Jam","Tomato Sauce, Bread, Butter",0.0204,0.2914285714285714,4.211395540875309,0.015556,1.3136290322580644,"['Cheese', 'Jam']","['Tomato Sauce', 'Bread', 'Butter']",2,3
"Pasta, Water, Milk","Cheese, Tomato Sauce",0.0212,0.5520833333333334,4.207952235772358,0.01616192,1.9396465116279071,"['Pasta', 'Water', 'Milk']","['Cheese', 'Tomato Sauce']",3,2
"Cheese, Tomato Sauce, Bread",Pasta,0.0368,0.8598130841121495,4.206521937926367,0.028051680000000002,5.675279999999999,"['Cheese', 'Tomato Sauce', 'Bread']",['Pasta'],3,1
"Cheese, Tomato Sauce, Bread, Butter",Pasta,0.0292,0.8588235294117647,4.201680672268908,0.0222504,5.635499999999998,"['Cheese', 'Tomato Sauce', 'Bread', 'Butter']",['Pasta'],4,1
"Cheese, Tomato Sauce","Pasta, Jam",0.028,0.21341463414634146,4.201075475321683,0.02133504,1.2067348837209302,"['Cheese', 'Tomato Sauce']","['Pasta', 'Jam']",2,2
"Pasta, Jam","Cheese, Tomato Sauce",0.028,0.5511811023622047,4.201075475321682,0.02133504,1.9357473684210527,"['Pasta', 'Jam']","['Cheese', 'Tomato Sauce']",2,2
"Sugar, Baby Wipes",Diapers,0.0364,0.6546762589928058,4.1966426858513195,0.027726400000000002,2.4440833333333334,"['Sugar', 'Baby Wipes']",['Diapers'],2,1
Diapers,"Sugar, Baby Wipes",0.0364,0.23333333333333334,4.1966426858513195,0.027726400000000002,1.2318260869565218,['Diapers'],"['Sugar', 'Baby Wipes']",1,2
"Beer, Soda, Diapers",Baby Wipes,0.0228,0.890625,4.193149717514125,0.01736256,7.200914285714285,"['Beer', 'Soda', 'Diapers']",['Baby Wipes'],3,1
"Pasta, Baby Wipes","Cheese, Tomato Sauce",0.0244,0.5495495495495496,4.188639859371567,0.018574720000000003,1.9287360000000002,"['Pasta', 'Baby Wipes']","['Cheese', 'Tomato Sauce']",2,2
"Pasta, Bread, Butter","Cheese, Tomato Sauce",0.0292,0.5488721804511278,4.183476985145791,0.02222016,1.9258400000000002,"['Pasta', 'Bread', 'Butter']","['Cheese', 'Tomato Sauce']",3,2
"Cheese, Tomato Sauce","Pasta, Bread, Butter",0.0292,0.22256097560975607,4.183476985145791,0.02222016,1.217844705882353,"['Cheese', 'Tomato Sauce']","['Pasta', 'Bread', 'Butter']",2,3
"Cheese, Baby Wipes",Diapers,0.0368,0.6524822695035462,4.182578650663757,0.0280016,2.42865306122449,"['Cheese', 'Baby Wipes']",['Diapers'],2,1
Diapers,"Cheese, Baby Wipes",0.0368,0.2358974358974359,4.182578650663757,0.0280016,1.2349127516778524,['Diapers'],"['Cheese', 'Baby Wipes']",1,2
"Diapers, Water","Bread, Baby Wipes",0.0204,0.32075471698113206,4.176493710691824,0.015515520000000001,1.3591555555555555,"['Diapers', 'Water']","['Bread', 'Baby Wipes']",2,2
"Bread, Baby Wipes","Diapers, Water",0.0204,0.26562500000000006,4.176493710691824,0.015515520000000001,1.2750978723404256,"['Bread', 'Baby Wipes']","['Diapers', 'Water']",2,2
"Coffee, Sugar, Tomato Sauce","Cheese, Pasta",0.0244,0.5041322314049588,4.1732800612993275,0.018553280000000002,1.7730533333333336,"['Coffee', 'Sugar', 'Tomato Sauce']","['Cheese', 'Pasta']",3,2
"Cheese, Pasta","Coffee, Sugar, Tomato Sauce",0.0244,0.20198675496688742,4.173280061299327,0.018553280000000002,1.1924614107883817,"['Cheese', 'Pasta']","['Coffee', 'Sugar', 'Tomato Sauce']",2,3
"Cheese, Tomato Sauce","Pasta, Butter",0.0348,0.26524390243902435,4.170501610676483,0.026455679999999995,1.2744365145228214,"['Cheese', 'Tomato Sauce']","['Pasta', 'Butter']",2,2
"Pasta, Butter","Cheese, Tomato Sauce",0.0348,0.5471698113207546,4.1705016106764825,0.026455679999999995,1.9185999999999994,"['Pasta', 'Butter']","['Cheese', 'Tomato Sauce']",2,2
"Coffee, Sugar, Baby Wipes",Diapers,0.026,0.6499999999999999,4.166666666666666,0.01976,2.4114285714285706,"['Coffee', 'Sugar', 'Baby Wipes']",['Diapers'],3,1
"Coffee, Tomato Sauce","Cheese, Pasta",0.0328,0.5030674846625768,4.164465932637225,0.024923840000000003,1.7692543209876546,"['Coffee', 'Tomato Sauce']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Coffee, Tomato Sauce",0.0328,0.271523178807947,4.164465932637224,0.024923840000000003,1.2832254545454547,"['Cheese', 'Pasta']","['Coffee', 'Tomato Sauce']",2,2
"Wine, Milk","Cheese, Coffee",0.0212,0.29775280898876405,4.158558784759275,0.01610208,1.3220416,"['Wine', 'Milk']","['Cheese', 'Coffee']",2,2
"Cheese, Coffee","Wine, Milk",0.0212,0.29608938547486036,4.158558784759275,0.01610208,1.3194857142857142,"['Cheese', 'Coffee']","['Wine', 'Milk']",2,2
"Pasta, Baby Wipes",Diapers,0.0288,0.6486486486486486,4.158004158004157,0.0218736,2.4021538461538454,"['Pasta', 'Baby Wipes']",['Diapers'],2,1
"Cheese, Pasta, Water","Tomato Sauce, Milk",0.0212,0.44166666666666665,4.135455680399501,0.0160736,1.5997611940298506,"['Cheese', 'Pasta', 'Water']","['Tomato Sauce', 'Milk']",3,2
"Sugar, Cookies","Tea, Milk",0.0256,0.3764705882352941,4.127966976264189,0.0193984,1.4575094339622643,"['Sugar', 'Cookies']","['Tea', 'Milk']",2,2
"Tea, Milk","Sugar, Cookies",0.0256,0.2807017543859649,4.127966976264189,0.0193984,1.2957073170731706,"['Tea', 'Milk']","['Sugar', 'Cookies']",2,2
"Yogurt, Diapers",Baby Wipes,0.028,0.875,4.119585687382298,0.0212032,6.3008,"['Yogurt', 'Diapers']",['Baby Wipes'],2,1
"Diapers, Cookies",Baby Wipes,0.03,0.872093023255814,4.105899356194981,0.02269344,6.1575999999999995,"['Diapers', 'Cookies']",['Baby Wipes'],2,1
"Tomato Sauce, Milk","Cheese, Pasta",0.0528,0.4943820224719101,4.092566411191308,0.03989856,1.738862222222222,"['Tomato Sauce', 'Milk']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Tomato Sauce, Milk",0.0528,0.43708609271523174,4.092566411191308,0.03989856,1.5867435294117647,"['Cheese', 'Pasta']","['Tomato Sauce', 'Milk']",2,2
"Bread, Baby Wipes","Beer, Diapers",0.0268,0.34895833333333337,4.076616043613708,0.02022592,1.4045184000000002,"['Bread', 'Baby Wipes']","['Beer', 'Diapers']",2,2
"Beer, Diapers","Bread, Baby Wipes",0.0268,0.31308411214953275,4.076616043613708,0.02022592,1.343978231292517,"['Beer', 'Diapers']","['Bread', 'Baby Wipes']",2,2
"Water, Baby Wipes","Diapers, Milk",0.0236,0.25431034482758624,4.075486295313882,0.01780928,1.2573595375722544,"['Water', 'Baby Wipes']","['Diapers', 'Milk']",2,2
"Diapers, Milk","Water, Baby Wipes",0.0236,0.3782051282051282,4.0754862953138815,0.01780928,1.45900206185567,"['Diapers', 'Milk']","['Water', 'Baby Wipes']",2,2
"Coffee, Milk, Baby Wipes",Diapers,0.0236,0.6344086021505376,4.0667218086572925,0.0177968,2.3085882352941174,"['Coffee', 'Milk', 'Baby Wipes']",['Diapers'],3,1
"Wine, Diapers",Baby Wipes,0.0228,0.8636363636363636,4.0660845745591505,0.017192640000000002,5.775733333333333,"['Wine', 'Diapers']",['Baby Wipes'],2,1
"Cheese, Coffee","Pasta, Milk",0.0272,0.37988826815642457,4.058635343551544,0.020498239999999997,1.4616720720720722,"['Cheese', 'Coffee']","['Pasta', 'Milk']",2,2
"Pasta, Milk","Cheese, Coffee",0.0272,0.29059829059829057,4.058635343551544,0.020498239999999997,1.3087084337349397,"['Pasta', 'Milk']","['Cheese', 'Coffee']",2,2
"Coffee, Baby Wipes",Diapers,0.0328,0.6307692307692309,4.043392504930967,0.024688,2.2858333333333336,"['Coffee', 'Baby Wipes']",['Diapers'],2,1
Diapers,"Coffee, Baby Wipes",0.0328,0.2102564102564103,4.043392504930967,0.024688,1.2003896103896103,['Diapers'],"['Coffee', 'Baby Wipes']",1,2
"Sugar, Tomato Sauce","Cheese, Pasta",0.0328,0.4880952380952382,4.040523494165879,0.02468224,1.7175069767441862,"['Sugar', 'Tomato Sauce']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Sugar, Tomato Sauce",0.0328,0.271523178807947,4.040523494165878,0.02468224,1.28048,"['Cheese', 'Pasta']","['Sugar', 'Tomato Sauce']",2,2
"Pasta, Bread","Cheese, Tomato Sauce",0.0368,0.5287356321839081,4.02999719652369,0.02766848,1.8435512195121952,"['Pasta', 'Bread']","['Cheese', 'Tomato Sauce']",2,2
"Cheese, Tomato Sauce","Pasta, Bread",0.0368,0.28048780487804875,4.02999719652369,0.02766848,1.2930983050847458,"['Cheese', 'Tomato Sauce']","['Pasta', 'Bread']",2,2
"Diapers, Water, Milk",Baby Wipes,0.0236,0.855072463768116,4.025764895330113,0.017737759999999998,5.43444,"['Diapers', 'Water', 'Milk']",['Baby Wipes'],3,1
"Soda, Baby Wipes",Diapers,0.0364,0.6275862068965518,4.022988505747127,0.027352,2.2662962962962965,"['Soda', 'Baby Wipes']",['Diapers'],2,1
Diapers,"Soda, Baby Wipes",0.0364,0.23333333333333334,4.022988505747127,0.027352,1.228695652173913,['Diapers'],"['Soda', 'Baby Wipes']",1,2
"Coffee, Butter","Jam, Milk",0.036,0.4128440366972477,4.01599257487595,0.02703584,1.52804375,"['Coffee', 'Butter']","['Jam', 'Milk']",2,2
"Jam, Milk","Coffee, Butter",0.036,0.35019455252918286,4.01599257487595,0.02703584,1.404728143712575,"['Jam', 'Milk']","['Coffee', 'Butter']",2,2
"Coffee, Pasta, Sugar","Cheese, Milk",0.0204,0.4722222222222222,4.015495086923658,0.015319680000000002,1.671915789473684,"['Coffee', 'Pasta', 'Sugar']","['Cheese', 'Milk']",3,2
"Beer, Diapers, Milk",Baby Wipes,0.0296,0.8505747126436782,4.004589042578522,0.022208480000000003,5.270861538461541,"['Beer', 'Diapers', 'Milk']",['Baby Wipes'],3,1
"Sugar, Bread","Jam, Milk, Butter",0.0276,0.30530973451327437,3.9962007135245337,0.02069344,1.3295133757961783,"['Sugar', 'Bread']","['Jam', 'Milk', 'Butter']",2,3
"Jam, Milk, Butter","Sugar, Bread",0.0276,0.3612565445026178,3.996200713524533,0.02069344,1.424045901639344,"['Jam', 'Milk', 'Butter']","['Sugar', 'Bread']",3,2
"Coffee, Water, Bread","Sugar, Milk",0.0204,0.6455696202531646,3.9948615114676027,0.015293440000000002,2.365485714285714,"['Coffee', 'Water', 'Bread']","['Sugar', 'Milk']",3,2
"Soda, Pasta","Tomato Sauce, Milk",0.0232,0.4264705882352941,3.9931703018285964,0.01739008,1.5573743589743592,"['Soda', 'Pasta']","['Tomato Sauce', 'Milk']",2,2
"Tomato Sauce, Milk","Soda, Pasta",0.0232,0.21722846441947563,3.9931703018285964,0.01739008,1.2080153110047847,"['Tomato Sauce', 'Milk']","['Soda', 'Pasta']",2,2
"Coffee, Sugar, Butter","Jam, Milk",0.0256,0.4102564102564103,3.99082111144368,0.019185280000000002,1.5213391304347827,"['Coffee', 'Sugar', 'Butter']","['Jam', 'Milk']",3,2
"Jam, Milk","Coffee, Sugar, Butter",0.0256,0.2490272373540856,3.9908211114436796,0.019185280000000002,1.2485139896373056,"['Jam', 'Milk']","['Coffee', 'Sugar', 'Butter']",2,3
"Diapers, Milk",Baby Wipes,0.0528,0.8461538461538461,3.983775170215848,0.039546239999999996,5.1194,"['Diapers', 'Milk']",['Baby Wipes'],2,1
Baby Wipes,"Diapers, Milk",0.0528,0.2485875706214689,3.983775170215848,0.039546239999999996,1.2477834586466163,['Baby Wipes'],"['Diapers', 'Milk']",1,2
"Sugar, Diapers, Milk",Baby Wipes,0.024,0.8450704225352113,3.9786743057213334,0.01796784,5.0836,"['Sugar', 'Diapers', 'Milk']",['Baby Wipes'],3,1
"Tomato Sauce, Baby Wipes",Diapers,0.032,0.6201550387596899,3.975352812562115,0.0239504,2.2219591836734693,"['Tomato Sauce', 'Baby Wipes']",['Diapers'],2,1
Diapers,"Tomato Sauce, Baby Wipes",0.032,0.20512820512820512,3.975352812562115,0.0239504,1.193148387096774,['Diapers'],"['Tomato Sauce', 'Baby Wipes']",1,2
"Beer, Sugar, Diapers",Baby Wipes,0.0216,0.84375,3.972457627118644,0.01616256,5.04064,"['Beer', 'Sugar', 'Diapers']",['Baby Wipes'],3,1
"Cheese, Soda, Pasta",Tomato Sauce,0.0328,1.0,3.9682539682539684,0.0245344,inf,"['Cheese', 'Soda', 'Pasta']",['Tomato Sauce'],3,1
"Soda, Diapers",Baby Wipes,0.0364,0.8425925925925926,3.9670084397014715,0.027224320000000003,5.003576470588234,"['Soda', 'Diapers']",['Baby Wipes'],2,1
"Diapers, Bread","Water, Baby Wipes",0.0204,0.36690647482014394,3.953733564872241,0.015240320000000002,1.4329636363636364,"['Diapers', 'Bread']","['Water', 'Baby Wipes']",2,2
"Water, Baby Wipes","Diapers, Bread",0.0204,0.21982758620689657,3.9537335648722407,0.015240320000000002,1.2105016574585636,"['Water', 'Baby Wipes']","['Diapers', 'Bread']",2,2
"Coffee, Sugar, Jam","Milk, Butter",0.0256,0.5565217391304348,3.952569169960474,0.0191232,1.9374117647058824,"['Coffee', 'Sugar', 'Jam']","['Milk', 'Butter']",3,2
"Tea, Tomato Sauce","Cheese, Pasta",0.0288,0.4768211920529801,3.947195298451822,0.021503679999999997,1.6804962025316454,"['Tea', 'Tomato Sauce']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Tea, Tomato Sauce",0.0288,0.23841059602649006,3.947195298451822,0.021503679999999997,1.2337356521739131,"['Cheese', 'Pasta']","['Tea', 'Tomato Sauce']",2,2
"Soda, Tomato Sauce","Cheese, Pasta",0.0328,0.47674418604651164,3.946557831510858,0.024488960000000004,1.6802488888888887,"['Soda', 'Tomato Sauce']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Soda, Tomato Sauce",0.0328,0.271523178807947,3.946557831510858,0.024488960000000004,1.2782836363636365,"['Cheese', 'Pasta']","['Soda', 'Tomato Sauce']",2,2
"Sugar, Jam","Milk, Bread, Butter",0.0276,0.4451612903225806,3.94646533973919,0.0206064,1.5990232558139532,"['Sugar', 'Jam']","['Milk', 'Bread', 'Butter']",2,3
"Milk, Bread, Butter","Sugar, Jam",0.0276,0.24468085106382978,3.94646533973919,0.0206064,1.2418591549295774,"['Milk', 'Bread', 'Butter']","['Sugar', 'Jam']",3,2
"Pasta, Sugar, Tomato Sauce","Cheese, Milk",0.0232,0.46399999999999997,3.945578231292517,0.01732,1.6462686567164178,"['Pasta', 'Sugar', 'Tomato Sauce']","['Cheese', 'Milk']",3,2
"Jam, Tomato Sauce","Cheese, Butter",0.0216,0.3576158940397351,3.9385010356799017,0.01611568,1.4153525773195879,"['Jam', 'Tomato Sauce']","['Cheese', 'Butter']",2,2
"Cheese, Butter","Jam, Tomato Sauce",0.0216,0.23788546255506607,3.9385010356799017,0.01611568,1.232885549132948,"['Cheese', 'Butter']","['Jam', 'Tomato Sauce']",2,2
Baby Wipes,"Diapers, Water",0.0532,0.2504708097928437,3.938220279761693,0.039691359999999995,1.2493175879396985,['Baby Wipes'],"['Diapers', 'Water']",1,2
"Diapers, Water",Baby Wipes,0.0532,0.8364779874213836,3.9382202797616928,0.039691359999999995,4.81647692307692,"['Diapers', 'Water']",['Baby Wipes'],2,1
"Cheese, Pasta, Water",Tomato Sauce,0.0476,0.9916666666666667,3.935185185185185,0.035504,89.76000000000032,"['Cheese', 'Pasta', 'Water']",['Tomato Sauce'],3,1
"Coffee, Pasta","Cheese, Milk",0.0272,0.46258503401360546,3.933546207598686,0.020285119999999997,1.64193417721519,"['Coffee', 'Pasta']","['Cheese', 'Milk']",2,2
"Cheese, Milk","Coffee, Pasta",0.0272,0.23129251700680273,3.933546207598686,0.020285119999999997,1.2243929203539825,"['Cheese', 'Milk']","['Coffee', 'Pasta']",2,2
"Beer, Diapers","Milk, Baby Wipes",0.0296,0.3457943925233645,3.929481733220052,0.022067200000000002,1.3940571428571429,"['Beer', 'Diapers']","['Milk', 'Baby Wipes']",2,2
"Milk, Baby Wipes","Beer, Diapers",0.0296,0.3363636363636364,3.929481733220052,0.022067200000000002,1.3778630136986303,"['Milk', 'Baby Wipes']","['Beer', 'Diapers']",2,2
"Cheese, Pasta, Bread",Tomato Sauce,0.0368,0.989247311827957,3.925584570745861,0.0274256,69.56400000000006,"['Cheese', 'Pasta', 'Bread']",['Tomato Sauce'],3,1
"Water, Tomato Sauce","Cheese, Pasta",0.0476,0.47410358565737054,3.9246985567663124,0.035471680000000005,1.6718121212121213,"['Water', 'Tomato Sauce']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Water, Tomato Sauce",0.0476,0.39403973509933776,3.9246985567663124,0.035471680000000005,1.4845857923497268,"['Cheese', 'Pasta']","['Water', 'Tomato Sauce']",2,2
"Cheese, Pasta, Butter",Tomato Sauce,0.0348,0.9886363636363635,3.9231601731601726,0.025929599999999997,65.82399999999942,"['Cheese', 'Pasta', 'Butter']",['Tomato Sauce'],3,1
"Coffee, Jam","Milk, Butter",0.036,0.5521472392638037,3.921500278862242,0.026819839999999998,1.9184876712328767,"['Coffee', 'Jam']","['Milk', 'Butter']",2,2
"Milk, Butter","Coffee, Jam",0.036,0.2556818181818181,3.9215002788622413,0.026819839999999998,1.2559145038167938,"['Milk', 'Butter']","['Coffee', 'Jam']",2,2
"Beer, Soda","Diapers, Baby Wipes",0.0228,0.4956521739130435,3.9212988442487613,0.0169856,1.7321379310344827,"['Beer', 'Soda']","['Diapers', 'Baby Wipes']",2,2
"Cheese, Pasta, Sugar",Tomato Sauce,0.0328,0.9879518072289157,3.9204436794798245,0.024433600000000003,62.08400000000037,"['Cheese', 'Pasta', 'Sugar']",['Tomato Sauce'],3,1
"Baby Wipes, Butter","Beer, Diapers",0.022,0.33536585365853655,3.917825393207203,0.01638464,1.375794495412844,"['Baby Wipes', 'Butter']","['Beer', 'Diapers']",2,2
"Beer, Diapers","Baby Wipes, Butter",0.022,0.2570093457943925,3.9178253932072025,0.01638464,1.2576201257861634,"['Beer', 'Diapers']","['Baby Wipes', 'Butter']",2,2
"Cheese, Pasta, Bread, Butter",Tomato Sauce,0.0292,0.9864864864864864,3.9146289146289144,0.0217408,55.351999999999656,"['Cheese', 'Pasta', 'Bread', 'Butter']",['Tomato Sauce'],4,1
"Tomato Sauce, Baby Wipes","Cheese, Pasta",0.0244,0.4728682170542636,3.914471995482314,0.01816672,1.6678941176470585,"['Tomato Sauce', 'Baby Wipes']","['Cheese', 'Pasta']",2,2
"Cheese, Pasta","Tomato Sauce, Baby Wipes",0.0244,0.20198675496688742,3.914471995482314,0.01816672,1.1884514522821576,"['Cheese', 'Pasta']","['Tomato Sauce', 'Baby Wipes']",2,2
"Coffee, Sugar, Jam","Milk, Bread",0.026,0.5652173913043478,3.914247862218475,0.0193576,1.9678799999999999,"['Coffee', 'Sugar', 'Jam']","['Milk', 'Bread']",3,2
"Cheese, Pasta, Jam",Tomato Sauce,0.028,0.9859154929577465,3.912363067292645,0.0208432,53.10800000000007,"['Cheese', 'Pasta', 'Jam']",['Tomato Sauce'],3,1
"Cheese, Yogurt, Pasta",Tomato Sauce,0.0272,0.9855072463768115,3.9107430411778235,0.0202448,51.61199999999977,"['Cheese', 'Yogurt', 'Pasta']",['Tomato Sauce'],3,1
"Cheese, Pasta, Milk","Water, Tomato Sauce",0.0212,0.3925925925925926,3.910284786778811,0.015778399999999998,1.4810487804878048,"['Cheese', 'Pasta', 'Milk']","['Water', 'Tomato Sauce']",3,2
"Water, Tomato Sauce","Cheese, Pasta, Milk",0.0212,0.21115537848605578,3.910284786778811,0.015778399999999998,1.1992222222222222,"['Water', 'Tomato Sauce']","['Cheese', 'Pasta', 'Milk']",2,3
"Cheese, Coffee, Pasta, Milk",Tomato Sauce,0.0268,0.9852941176470589,3.9098972922502337,0.0199456,50.86400000000018,"['Cheese', 'Coffee', 'Pasta', 'Milk']",['Tomato Sauce'],4,1
"Cheese, Coffee, Pasta, Sugar",Tomato Sauce,0.0244,0.9838709677419356,3.9042498719918077,0.0181504,46.37600000000036,"['Cheese', 'Coffee', 'Pasta', 'Sugar']",['Tomato Sauce'],4,1
"Cheese, Pasta, Sugar, Milk",Tomato Sauce,0.0232,0.983050847457627,3.900995426419155,0.0172528,44.13199999999983,"['Cheese', 'Pasta', 'Sugar', 'Milk']",['Tomato Sauce'],4,1
"Cheese, Pasta, Diapers",Tomato Sauce,0.0228,0.9827586206896552,3.8998357963875208,0.0169536,43.38400000000019,"['Cheese', 'Pasta', 'Diapers']",['Tomato Sauce'],3,1
"Cheese, Pasta, Water, Milk",Tomato Sauce,0.0212,0.9814814814814814,3.8947677836566723,0.0157568,40.39199999999982,"['Cheese', 'Pasta', 'Water', 'Milk']",['Tomato Sauce'],4,1
"Cheese, Pasta, Sugar, Coffee, Milk",Tomato Sauce,0.02,0.9803921568627451,3.890445066915655,0.0148592,38.14799999999992,"['Cheese', 'Pasta', 'Sugar', 'Coffee', 'Milk']",['Tomato Sauce'],5,1
"Wine, Baby Wipes",Diapers,0.0228,0.6063829787234043,3.887070376432079,0.016934400000000002,2.144216216216216,"['Wine', 'Baby Wipes']",['Diapers'],2,1
Tomato Sauce,"Cheese, Pasta, Milk",0.0528,0.20952380952380953,3.8800705467372136,0.039192,1.1967469879518071,['Tomato Sauce'],"['Cheese', 'Pasta', 'Milk']",1,3
"Cheese, Pasta, Milk",Tomato Sauce,0.0528,0.9777777777777777,3.880070546737213,0.039192,33.659999999999954,"['Cheese', 'Pasta', 'Milk']",['Tomato Sauce'],3,1
"Eggs, Baby Wipes",Diapers,0.0276,0.6052631578947368,3.8798920377867745,0.0204864,2.138133333333333,"['Eggs', 'Baby Wipes']",['Diapers'],2,1
"Sugar, Bread, Butter","Jam, Milk",0.0276,0.3988439306358382,3.879804772722161,0.02048624,1.4924576923076924,"['Sugar', 'Bread', 'Butter']","['Jam', 'Milk']",3,2
"Jam, Milk","Sugar, Bread, Butter",0.0276,0.26848249027237353,3.879804772722161,0.02048624,1.272423404255319,"['Jam', 'Milk']","['Sugar', 'Bread', 'Butter']",2,3
"Cheese, Pasta",Tomato Sauce,0.118,0.97682119205298,3.8762745716388096,0.0875584,32.270857142856975,"['Cheese', 'Pasta']",['Tomato Sauce'],2,1
Tomato Sauce,"Cheese, Pasta",0.118,0.4682539682539682,3.8762745716388096,0.0875584,1.6534208955223877,['Tomato Sauce'],"['Cheese', 'Pasta']",1,2
"Coffee, Bread","Jam, Milk",0.036,0.39823008849557523,3.873833545676802,0.026706879999999995,1.490935294117647,"['Coffee', 'Bread']","['Jam', 'Milk']",2,2
"Jam, Milk","Coffee, Bread",0.036,0.35019455252918286,3.873833545676802,0.026706879999999995,1.399803592814371,"['Jam', 'Milk']","['Coffee', 'Bread']",2,2
"Cheese, Coffee, Pasta",Tomato Sauce,0.0328,0.9761904761904764,3.873771730914589,0.0243328,31.41600000000026,"['Cheese', 'Coffee', 'Pasta']",['Tomato Sauce'],3,1
"Coffee, Sugar, Diapers",Baby Wipes,0.026,0.8227848101265821,3.8737514601063188,0.01928816,4.444314285714281,"['Coffee', 'Sugar', 'Diapers']",['Baby Wipes'],3,1
"Diapers, Water, Bread",Baby Wipes,0.0204,0.8225806451612904,3.872790231456169,0.01513248,4.439200000000001,"['Diapers', 'Water', 'Bread']",['Baby Wipes'],3,1
"Beer, Diapers, Water",Baby Wipes,0.0296,0.8222222222222223,3.8711027411592385,0.021953600000000004,4.430250000000002,"['Beer', 'Diapers', 'Water']",['Baby Wipes'],3,1
"Cheese, Diapers",Baby Wipes,0.0368,0.8214285714285714,3.8673661555017484,0.02728448,4.410559999999999,"['Cheese', 'Diapers']",['Baby Wipes'],2,1
"Cheese, Pasta, Tea",Tomato Sauce,0.0288,0.9729729729729729,3.861003861003861,0.0213408,27.67599999999994,"['Cheese', 'Pasta', 'Tea']",['Tomato Sauce'],3,1
"Sugar, Milk, Tomato Sauce",Pasta,0.0344,0.7889908256880734,3.8600333937772673,0.02548816,3.770452173913044,"['Sugar', 'Milk', 'Tomato Sauce']",['Pasta'],3,1
"Sugar, Diapers",Baby Wipes,0.0364,0.8198198198198198,3.8597919953852156,0.02696944,4.371179999999999,"['Sugar', 'Diapers']",['Baby Wipes'],2,1
"Pasta, Diapers",Baby Wipes,0.0288,0.8181818181818181,3.8520801232665636,0.02132352,4.3317999999999985,"['Pasta', 'Diapers']",['Baby Wipes'],2,1
"Cheese, Pasta, Cookies",Tomato Sauce,0.0256,0.9696969696969697,3.848003848003848,0.0189472,24.684000000000022,"['Cheese', 'Pasta', 'Cookies']",['Tomato Sauce'],3,1
Diapers,"Milk, Baby Wipes",0.0528,0.3384615384615385,3.8461538461538467,0.039072,1.3786046511627907,['Diapers'],"['Milk', 'Baby Wipes']",1,2
"Bread, Water, Baby Wipes",Diapers,0.0204,0.6,3.846153846153846,0.015096000000000002,2.11,"['Bread', 'Water', 'Baby Wipes']",['Diapers'],3,1
