support,itemsets
0.0436,"frozenset({'Wine', 'Cookies'})"
0.0456,"frozenset({'Wine', 'Tomato Sauce'})"
0.0376,"frozenset({'Wine', 'Jam'})"
0.0376,"frozenset({'Wine', 'Baby Wipes'})"
0.0352,"frozenset({'Wine', 'Pasta'})"
0.0384,"frozenset({'Wine', 'Eggs'})"
0.0488,"frozenset({'Cheese', 'Wine', 'Water'})"
0.0276,"frozenset({'Wine', 'Water', 'Milk'})"
0.0468,"frozenset({'Cheese', 'Wine', 'Milk'})"
0.026,"frozenset({'Wine', 'Milk', 'Bread'})"
0.0216,"frozenset({'Wine', 'Water', 'Bread'})"
0.0388,"frozenset({'Cheese', 'Wine', 'Bread'})"
0.028,"frozenset({'Wine', 'Sugar', 'Milk'})"
0.0276,"frozenset({'Cheese', 'Wine', 'Sugar'})"
0.0336,"frozenset({'Wine', 'Coffee', 'Milk'})"
0.0328,"frozenset({'Wine', 'Coffee', 'Sugar'})"
0.0264,"frozenset({'Cheese', 'Wine', 'Coffee'})"
0.0252,"frozenset({'Wine', 'Coffee', 'Sugar', 'Milk'})"
0.02,"frozenset({'Cheese', 'Wine', 'Coffee', 'Sugar'})"
0.0212,"frozenset({'Cheese', 'Wine', 'Coffee', 'Milk'})"
0.0452,"frozenset({'Wine', 'Bread', 'Butter'})"
0.038,"frozenset({'Cheese', 'Wine', 'Butter'})"
0.026,"frozenset({'Wine', 'Milk', 'Butter'})"
0.0232,"frozenset({'Wine', 'Water', 'Butter'})"
0.0304,"frozenset({'Cheese', 'Wine', 'Bread', 'Butter'})"
0.0324,"frozenset({'Cheese', 'Wine', 'Soda'})"
0.0204,"frozenset({'Wine', 'Water', 'Soda'})"
0.0284,"frozenset({'Cheese', 'Wine', 'Tea'})"
0.0292,"frozenset({'Wine', 'Tea', 'Cookies'})"
0.02,"frozenset({'Cheese', 'Wine', 'Tea', 'Cookies'})"
0.0252,"frozenset({'Cheese', 'Wine', 'Yogurt'})"
0.0276,"frozenset({'Cheese', 'Wine', 'Cookies'})"
0.036,"frozenset({'Cheese', 'Wine', 'Tomato Sauce'})"
0.0204,"frozenset({'Wine', 'Tomato Sauce', 'Milk'})"
0.0204,"frozenset({'Wine', 'Water', 'Tomato Sauce'})"
0.0272,"frozenset({'Wine', 'Jam', 'Butter'})"
0.026,"frozenset({'Wine', 'Jam', 'Bread'})"
0.0256,"frozenset({'Cheese', 'Wine', 'Jam'})"
0.0256,"frozenset({'Wine', 'Jam', 'Bread', 'Butter'})"
0.02,"frozenset({'Cheese', 'Wine', 'Jam', 'Butter'})"
0.0232,"frozenset({'Cheese', 'Wine', 'Baby Wipes'})"
0.0296,"frozenset({'Cheese', 'Wine', 'Pasta'})"
0.0312,"frozenset({'Wine', 'Pasta', 'Tomato Sauce'})"
0.0276,"frozenset({'Cheese', 'Wine', 'Pasta', 'Tomato Sauce'})"
0.0268,"frozenset({'Cheese', 'Wine', 'Eggs'})"
0.0428,"frozenset({'Cake', 'Milk'})"
0.0384,"frozenset({'Cake', 'Water'})"
0.0368,"frozenset({'Cake', 'Bread'})"
0.0256,"frozenset({'Cake', 'Sugar'})"
0.0232,"frozenset({'Cake', 'Coffee'})"
0.0236,"frozenset({'Cake', 'Tomato Sauce'})"
0.0232,"frozenset({'Cake', 'Baby Wipes'})"
0.0208,"frozenset({'Cake', 'Tea'})"
0.03,"frozenset({'Cake', 'Jam'})"
0.0288,"frozenset({'Cake', 'Cheese'})"
0.0244,"frozenset({'Cake', 'Eggs'})"
0.0396,"frozenset({'Cake', 'Butter'})"
0.0224,"frozenset({'Cake', 'Cookies'})"
0.0272,"frozenset({'Cake', 'Soda'})"
0.0296,"frozenset({'Cake', 'Bread', 'Butter'})"
0.022,"frozenset({'Cake', 'Jam', 'Bread'})"
0.022,"frozenset({'Cake', 'Jam', 'Butter'})"
0.0212,"frozenset({'Cake', 'Jam', 'Bread', 'Butter'})"
0.0996,"frozenset({'Cookies', 'Milk'})"
0.0992,"frozenset({'Water', 'Cookies'})"
0.0716,"frozenset({'Soda', 'Cookies'})"
0.078,"frozenset({'Cookies', 'Bread'})"
0.0772,"frozenset({'Cookies', 'Butter'})"
0.068,"frozenset({'Sugar', 'Cookies'})"
0.0624,"frozenset({'Coffee', 'Cookies'})"
0.0576,"frozenset({'Jam', 'Cookies'})"
0.062,"frozenset({'Cheese', 'Cookies'})"
0.0572,"frozenset({'Cookies', 'Tomato Sauce'})"
0.0392,"frozenset({'Water', 'Cookies', 'Milk'})"
0.0252,"frozenset({'Water', 'Cookies', 'Soda'})"
0.0292,"frozenset({'Soda', 'Cookies', 'Milk'})"
0.0224,"frozenset({'Soda', 'Cookies', 'Butter'})"
0.022,"frozenset({'Soda', 'Cookies', 'Bread'})"
0.0348,"frozenset({'Milk', 'Cookies', 'Bread'})"
0.0288,"frozenset({'Water', 'Cookies', 'Bread'})"
0.0612,"frozenset({'Cookies', 'Bread', 'Butter'})"
0.0336,"frozenset({'Cookies', 'Milk', 'Butter'})"
0.032,"frozenset({'Water', 'Cookies', 'Butter'})"
0.0272,"frozenset({'Milk', 'Cookies', 'Bread', 'Butter'})"
0.0228,"frozenset({'Water', 'Cookies', 'Bread', 'Butter'})"
0.0416,"frozenset({'Sugar', 'Cookies', 'Milk'})"
0.0244,"frozenset({'Sugar', 'Cookies', 'Bread'})"
0.024,"frozenset({'Sugar', 'Cookies', 'Butter'})"
0.0232,"frozenset({'Soda', 'Sugar', 'Cookies'})"
0.0236,"frozenset({'Water', 'Sugar', 'Cookies'})"
0.0204,"frozenset({'Sugar', 'Cookies', 'Bread', 'Butter'})"
0.0484,"frozenset({'Coffee', 'Sugar', 'Cookies'})"
0.048,"frozenset({'Coffee', 'Cookies', 'Milk'})"
0.0232,"frozenset({'Coffee', 'Cookies', 'Butter'})"
0.0228,"frozenset({'Coffee', 'Cookies', 'Bread'})"
0.02,"frozenset({'Soda', 'Coffee', 'Cookies'})"
0.0208,"frozenset({'Water', 'Coffee', 'Cookies'})"
0.0364,"frozenset({'Coffee', 'Sugar', 'Cookies', 'Milk'})"
0.02,"frozenset({'Coffee', 'Cookies', 'Bread', 'Butter'})"
0.0392,"frozenset({'Jam', 'Cookies', 'Butter'})"
0.0392,"frozenset({'Jam', 'Cookies', 'Bread'})"
0.0248,"frozenset({'Jam', 'Cookies', 'Milk'})"
0.0256,"frozenset({'Water', 'Jam', 'Cookies'})"
0.0372,"frozenset({'Jam', 'Cookies', 'Bread', 'Butter'})"
0.028,"frozenset({'Cheese', 'Cookies', 'Milk'})"
0.026,"frozenset({'Cheese', 'Water', 'Cookies'})"
0.0212,"frozenset({'Cheese', 'Soda', 'Cookies'})"
0.0204,"frozenset({'Cheese', 'Cookies', 'Bread'})"
0.0244,"frozenset({'Cookies', 'Milk', 'Tomato Sauce'})"
0.0224,"frozenset({'Water', 'Cookies', 'Tomato Sauce'})"
0.0272,"frozenset({'Cheese', 'Cookies', 'Tomato Sauce'})"
0.16,"frozenset({'Tea', 'Cookies'})"
0.0964,"frozenset({'Tea', 'Water'})"
0.0912,"frozenset({'Tea', 'Milk'})"
0.07,"frozenset({'Soda', 'Tea'})"
0.0764,"frozenset({'Tea', 'Bread'})"
0.0728,"frozenset({'Tea', 'Butter'})"
0.0588,"frozenset({'Tea', 'Sugar'})"
0.0552,"frozenset({'Tea', 'Jam'})"
0.0532,"frozenset({'Coffee', 'Tea'})"
0.0652,"frozenset({'Cheese', 'Tea'})"
0.0604,"frozenset({'Tea', 'Tomato Sauce'})"
0.066,"frozenset({'Tea', 'Water', 'Cookies'})"
0.0624,"frozenset({'Tea', 'Cookies', 'Milk'})"
0.0348,"frozenset({'Tea', 'Water', 'Milk'})"
0.0224,"frozenset({'Tea', 'Water', 'Milk', 'Cookies'})"
0.0484,"frozenset({'Soda', 'Tea', 'Cookies'})"
0.026,"frozenset({'Soda', 'Tea', 'Water'})"
0.0272,"frozenset({'Soda', 'Tea', 'Milk'})"
0.024,"frozenset({'Soda', 'Tea', 'Butter'})"
0.024,"frozenset({'Soda', 'Tea', 'Bread'})"
0.0512,"frozenset({'Tea', 'Cookies', 'Bread'})"
0.034,"frozenset({'Milk', 'Tea', 'Bread'})"
0.028,"frozenset({'Tea', 'Water', 'Bread'})"
0.0236,"frozenset({'Milk', 'Tea', 'Cookies', 'Bread'})"
0.0584,"frozenset({'Tea', 'Bread', 'Butter'})"
0.0496,"frozenset({'Tea', 'Cookies', 'Butter'})"
0.03,"frozenset({'Tea', 'Milk', 'Butter'})"
0.0292,"frozenset({'Tea', 'Water', 'Butter'})"
0.0396,"frozenset({'Tea', 'Cookies', 'Bread', 'Butter'})"
0.0248,"frozenset({'Milk', 'Tea', 'Bread', 'Butter'})"
0.0212,"frozenset({'Tea', 'Cookies', 'Milk', 'Butter'})"
0.0216,"frozenset({'Tea', 'Water', 'Bread', 'Butter'})"
0.02,"frozenset({'Butter', 'Tea', 'Water', 'Cookies'})"
0.0428,"frozenset({'Sugar', 'Tea', 'Cookies'})"
0.0356,"frozenset({'Tea', 'Sugar', 'Milk'})"
0.0224,"frozenset({'Tea', 'Sugar', 'Bread'})"
0.0212,"frozenset({'Soda', 'Tea', 'Sugar'})"
0.0212,"frozenset({'Tea', 'Sugar', 'Butter'})"
0.0256,"frozenset({'Sugar', 'Tea', 'Cookies', 'Milk'})"
0.0408,"frozenset({'Jam', 'Tea', 'Cookies'})"
0.04,"frozenset({'Tea', 'Jam', 'Butter'})"
0.0396,"frozenset({'Tea', 'Jam', 'Bread'})"
0.0232,"frozenset({'Tea', 'Jam', 'Milk'})"
0.022,"frozenset({'Jam', 'Tea', 'Water'})"
0.0276,"frozenset({'Jam', 'Tea', 'Cookies', 'Butter'})"
0.038,"frozenset({'Tea', 'Jam', 'Bread', 'Butter'})"
0.0276,"frozenset({'Jam', 'Tea', 'Cookies', 'Bread'})"
0.026,"frozenset({'Jam', 'Cookies', 'Tea', 'Bread', 'Butter'})"
0.0396,"frozenset({'Coffee', 'Tea', 'Sugar'})"
0.0388,"frozenset({'Coffee', 'Tea', 'Milk'})"
0.0376,"frozenset({'Coffee', 'Tea', 'Cookies'})"
0.0224,"frozenset({'Coffee', 'Tea', 'Bread'})"
0.0216,"frozenset({'Coffee', 'Tea', 'Butter'})"
0.0288,"frozenset({'Coffee', 'Tea', 'Sugar', 'Milk'})"
0.03,"frozenset({'Coffee', 'Sugar', 'Tea', 'Cookies'})"
0.0284,"frozenset({'Coffee', 'Tea', 'Cookies', 'Milk'})"
0.0216,"frozenset({'Cookies', 'Tea', 'Sugar', 'Coffee', 'Milk'})"
0.0412,"frozenset({'Cheese', 'Tea', 'Cookies'})"
0.028,"frozenset({'Cheese', 'Tea', 'Water'})"
0.0256,"frozenset({'Cheese', 'Tea', 'Milk'})"
0.022,"frozenset({'Cheese', 'Soda', 'Tea'})"
0.0224,"frozenset({'Cheese', 'Tea', 'Butter'})"
0.0212,"frozenset({'Cheese', 'Tea', 'Bread'})"
0.0248,"frozenset({'Tea', 'Water', 'Tomato Sauce'})"
0.0388,"frozenset({'Tea', 'Cookies', 'Tomato Sauce'})"
0.0236,"frozenset({'Tea', 'Tomato Sauce', 'Milk'})"
0.0208,"frozenset({'Tea', 'Tomato Sauce', 'Bread'})"
0.0312,"frozenset({'Cheese', 'Tea', 'Tomato Sauce'})"
0.1068,"frozenset({'Tomato Sauce', 'Milk'})"
0.088,"frozenset({'Tomato Sauce', 'Bread'})"
0.0688,"frozenset({'Soda', 'Tomato Sauce'})"
0.0672,"frozenset({'Sugar', 'Tomato Sauce'})"
0.0844,"frozenset({'Tomato Sauce', 'Butter'})"
0.1004,"frozenset({'Water', 'Tomato Sauce'})"
0.1312,"frozenset({'Cheese', 'Tomato Sauce'})"
0.0604,"frozenset({'Jam', 'Tomato Sauce'})"
0.0576,"frozenset({'Cheese', 'Tomato Sauce', 'Milk'})"
0.038,"frozenset({'Milk', 'Tomato Sauce', 'Bread'})"
0.0428,"frozenset({'Cheese', 'Tomato Sauce', 'Bread'})"
0.0328,"frozenset({'Water', 'Bread', 'Tomato Sauce'})"
0.0308,"frozenset({'Soda', 'Tomato Sauce', 'Milk'})"
0.0204,"frozenset({'Soda', 'Tomato Sauce', 'Bread'})"
0.0212,"frozenset({'Soda', 'Tomato Sauce', 'Butter'})"
0.0372,"frozenset({'Cheese', 'Soda', 'Tomato Sauce'})"
0.0268,"frozenset({'Soda', 'Water', 'Tomato Sauce'})"
0.0436,"frozenset({'Sugar', 'Milk', 'Tomato Sauce'})"
0.0236,"frozenset({'Sugar', 'Bread', 'Tomato Sauce'})"
0.0224,"frozenset({'Sugar', 'Tomato Sauce', 'Butter'})"
0.0276,"frozenset({'Sugar', 'Water', 'Tomato Sauce'})"
0.0348,"frozenset({'Cheese', 'Sugar', 'Tomato Sauce'})"
0.0236,"frozenset({'Cheese', 'Sugar', 'Milk', 'Tomato Sauce'})"
0.0692,"frozenset({'Tomato Sauce', 'Bread', 'Butter'})"
0.04,"frozenset({'Cheese', 'Tomato Sauce', 'Butter'})"
0.0384,"frozenset({'Tomato Sauce', 'Milk', 'Butter'})"
0.034,"frozenset({'Water', 'Tomato Sauce', 'Butter'})"
0.034,"frozenset({'Cheese', 'Tomato Sauce', 'Bread', 'Butter'})"
0.0316,"frozenset({'Milk', 'Tomato Sauce', 'Bread', 'Butter'})"
0.0268,"frozenset({'Tomato Sauce', 'Water', 'Bread', 'Butter'})"
0.0524,"frozenset({'Cheese', 'Water', 'Tomato Sauce'})"
0.0408,"frozenset({'Water', 'Milk', 'Tomato Sauce'})"
0.022,"frozenset({'Cheese', 'Water', 'Milk', 'Tomato Sauce'})"
0.0424,"frozenset({'Jam', 'Bread', 'Tomato Sauce'})"
0.0416,"frozenset({'Jam', 'Tomato Sauce', 'Butter'})"
0.0316,"frozenset({'Cheese', 'Jam', 'Tomato Sauce'})"
0.0284,"frozenset({'Jam', 'Milk', 'Tomato Sauce'})"
0.0248,"frozenset({'Jam', 'Water', 'Tomato Sauce'})"
0.0404,"frozenset({'Tomato Sauce', 'Jam', 'Bread', 'Butter'})"
0.0216,"frozenset({'Cheese', 'Jam', 'Tomato Sauce', 'Butter'})"
0.0212,"frozenset({'Cheese', 'Jam', 'Bread', 'Tomato Sauce'})"
0.0204,"frozenset({'Cheese', 'Tomato Sauce', 'Jam', 'Bread', 'Butter'})"
0.0204,"frozenset({'Milk', 'Jam', 'Bread', 'Tomato Sauce'})"
0.02,"frozenset({'Tomato Sauce', 'Jam', 'Milk', 'Butter'})"
0.0264,"frozenset({'Eggs', 'Bagel'})"
0.026,"frozenset({'Bagel', 'Tomato Sauce'})"
0.0416,"frozenset({'Bagel', 'Milk'})"
0.0304,"frozenset({'Soda', 'Bagel'})"
0.0404,"frozenset({'Bagel', 'Water'})"
0.0264,"frozenset({'Bagel', 'Cookies'})"
0.02,"frozenset({'Wine', 'Bagel'})"
0.0228,"frozenset({'Bagel', 'Tea'})"
0.02,"frozenset({'Beer', 'Bagel'})"
0.0216,"frozenset({'Pasta', 'Bagel'})"
0.0276,"frozenset({'Cheese', 'Bagel'})"
0.0268,"frozenset({'Bagel', 'Jam'})"
0.0264,"frozenset({'Coffee', 'Bagel'})"
0.022,"frozenset({'Bagel', 'Baby Wipes'})"
0.0268,"frozenset({'Bagel', 'Sugar'})"
0.0244,"frozenset({'Yogurt', 'Bagel'})"
0.04,"frozenset({'Bagel', 'Bread'})"
0.0316,"frozenset({'Bagel', 'Butter'})"
0.0216,"frozenset({'Coffee', 'Bagel', 'Milk'})"
0.0268,"frozenset({'Bagel', 'Bread', 'Butter'})"
0.0444,"frozenset({'Water', 'Juice'})"
0.042,"frozenset({'Milk', 'Juice'})"
0.0264,"frozenset({'Cookies', 'Juice'})"
0.0248,"frozenset({'Tea', 'Juice'})"
0.0324,"frozenset({'Soda', 'Juice'})"
0.0368,"frozenset({'Juice', 'Butter'})"
0.036,"frozenset({'Juice', 'Bread'})"
0.0332,"frozenset({'Cheese', 'Juice'})"
0.0296,"frozenset({'Jam', 'Juice'})"
0.028,"frozenset({'Coffee', 'Juice'})"
0.0268,"frozenset({'Sugar', 'Juice'})"
0.0244,"frozenset({'Pasta', 'Juice'})"
0.0208,"frozenset({'Wine', 'Juice'})"
0.0292,"frozenset({'Eggs', 'Juice'})"
0.0212,"frozenset({'Yogurt', 'Juice'})"
0.0204,"frozenset({'Juice', 'Baby Wipes'})"
0.0268,"frozenset({'Tomato Sauce', 'Juice'})"
0.028,"frozenset({'Juice', 'Bread', 'Butter'})"
0.022,"frozenset({'Juice', 'Jam', 'Bread'})"
0.022,"frozenset({'Jam', 'Juice', 'Butter'})"
0.0204,"frozenset({'Juice', 'Jam', 'Bread', 'Butter'})"
0.0208,"frozenset({'Coffee', 'Milk', 'Juice'})"
0.0204,"frozenset({'Pasta', 'Tomato Sauce', 'Juice'})"
0.1108,"frozenset({'Soda', 'Milk'})"
0.0956,"frozenset({'Soda', 'Bread'})"
0.0948,"frozenset({'Soda', 'Butter'})"
0.102,"frozenset({'Soda', 'Water'})"
0.0372,"frozenset({'Soda', 'Milk', 'Bread'})"
0.0324,"frozenset({'Soda', 'Water', 'Bread'})"
0.0748,"frozenset({'Soda', 'Bread', 'Butter'})"
0.0372,"frozenset({'Soda', 'Milk', 'Butter'})"
0.0332,"frozenset({'Soda', 'Water', 'Butter'})"
0.0296,"frozenset({'Soda', 'Milk', 'Bread', 'Butter'})"
0.0252,"frozenset({'Soda', 'Water', 'Bread', 'Butter'})"
0.0392,"frozenset({'Soda', 'Water', 'Milk'})"
0.088,"frozenset({'Yogurt', 'Milk'})"
0.068,"frozenset({'Yogurt', 'Bread'})"
0.0608,"frozenset({'Yogurt', 'Sugar'})"
0.0556,"frozenset({'Yogurt', 'Soda'})"
0.0552,"frozenset({'Yogurt', 'Coffee'})"
0.0508,"frozenset({'Yogurt', 'Tomato Sauce'})"
0.0484,"frozenset({'Yogurt', 'Eggs'})"
0.0668,"frozenset({'Yogurt', 'Butter'})"
0.0852,"frozenset({'Yogurt', 'Water'})"
0.0508,"frozenset({'Yogurt', 'Jam'})"
0.058,"frozenset({'Cheese', 'Yogurt'})"
0.0448,"frozenset({'Yogurt', 'Tea'})"
0.0484,"frozenset({'Yogurt', 'Baby Wipes'})"
0.0428,"frozenset({'Yogurt', 'Cookies'})"
0.0252,"frozenset({'Yogurt', 'Milk', 'Bread'})"
0.026,"frozenset({'Yogurt', 'Water', 'Bread'})"
0.038,"frozenset({'Yogurt', 'Sugar', 'Milk'})"
0.0216,"frozenset({'Yogurt', 'Sugar', 'Bread'})"
0.0248,"frozenset({'Yogurt', 'Sugar', 'Water'})"
0.0228,"frozenset({'Yogurt', 'Soda', 'Milk'})"
0.0204,"frozenset({'Yogurt', 'Soda', 'Bread'})"
0.0216,"frozenset({'Yogurt', 'Soda', 'Butter'})"
0.0432,"frozenset({'Yogurt', 'Coffee', 'Milk'})"
0.0416,"frozenset({'Yogurt', 'Coffee', 'Sugar'})"
0.0216,"frozenset({'Yogurt', 'Coffee', 'Water'})"
0.0324,"frozenset({'Yogurt', 'Coffee', 'Sugar', 'Milk'})"
0.0208,"frozenset({'Yogurt', 'Tomato Sauce', 'Milk'})"
0.0216,"frozenset({'Yogurt', 'Water', 'Tomato Sauce'})"
0.0304,"frozenset({'Cheese', 'Yogurt', 'Tomato Sauce'})"
0.0204,"frozenset({'Yogurt', 'Eggs', 'Milk'})"
0.0216,"frozenset({'Yogurt', 'Eggs', 'Water'})"
0.0544,"frozenset({'Yogurt', 'Bread', 'Butter'})"
0.0264,"frozenset({'Yogurt', 'Water', 'Butter'})"
0.026,"frozenset({'Yogurt', 'Milk', 'Butter'})"
0.02,"frozenset({'Yogurt', 'Water', 'Bread', 'Butter'})"
0.02,"frozenset({'Yogurt', 'Milk', 'Bread', 'Butter'})"
0.0348,"frozenset({'Yogurt', 'Water', 'Milk'})"
0.0228,"frozenset({'Yogurt', 'Jam', 'Water'})"
0.0376,"frozenset({'Yogurt', 'Jam', 'Butter'})"
0.0372,"frozenset({'Yogurt', 'Jam', 'Bread'})"
0.0356,"frozenset({'Yogurt', 'Jam', 'Bread', 'Butter'})"
0.0268,"frozenset({'Cheese', 'Yogurt', 'Milk'})"
0.0216,"frozenset({'Cheese', 'Yogurt', 'Water'})"
0.0216,"frozenset({'Yogurt', 'Water', 'Baby Wipes'})"
0.0288,"frozenset({'Yogurt', 'Tea', 'Cookies'})"
0.1848,"frozenset({'Jam', 'Butter'})"
0.184,"frozenset({'Jam', 'Bread'})"
0.0712,"frozenset({'Soda', 'Jam'})"
0.1028,"frozenset({'Jam', 'Milk'})"
0.062,"frozenset({'Sugar', 'Jam'})"
0.1024,"frozenset({'Jam', 'Water'})"
0.07,"frozenset({'Cheese', 'Jam'})"
0.1764,"frozenset({'Jam', 'Bread', 'Butter'})"
0.0504,"frozenset({'Soda', 'Jam', 'Bread'})"
0.05,"frozenset({'Soda', 'Jam', 'Butter'})"
0.0268,"frozenset({'Soda', 'Jam', 'Milk'})"
0.026,"frozenset({'Soda', 'Jam', 'Water'})"
0.048,"frozenset({'Soda', 'Jam', 'Bread', 'Butter'})"
0.0764,"frozenset({'Jam', 'Milk', 'Butter'})"
0.076,"frozenset({'Milk', 'Jam', 'Bread'})"
0.0724,"frozenset({'Milk', 'Jam', 'Bread', 'Butter'})"
0.0444,"frozenset({'Sugar', 'Jam', 'Bread'})"
0.044,"frozenset({'Sugar', 'Jam', 'Butter'})"
0.0392,"frozenset({'Sugar', 'Jam', 'Milk'})"
0.0204,"frozenset({'Soda', 'Sugar', 'Jam'})"
0.0252,"frozenset({'Jam', 'Sugar', 'Water'})"
0.0424,"frozenset({'Sugar', 'Jam', 'Bread', 'Butter'})"
0.0292,"frozenset({'Milk', 'Sugar', 'Jam', 'Bread'})"
0.0284,"frozenset({'Sugar', 'Jam', 'Milk', 'Butter'})"
0.0276,"frozenset({'Jam', 'Sugar', 'Bread', 'Milk', 'Butter'})"
0.04,"frozenset({'Jam', 'Water', 'Milk'})"
0.0732,"frozenset({'Jam', 'Water', 'Butter'})"
0.0712,"frozenset({'Jam', 'Water', 'Bread'})"
0.03,"frozenset({'Jam', 'Water', 'Milk', 'Butter'})"
0.0296,"frozenset({'Milk', 'Jam', 'Water', 'Bread'})"
0.0284,"frozenset({'Water', 'Jam', 'Bread', 'Milk', 'Butter'})"
0.0692,"frozenset({'Jam', 'Water', 'Bread', 'Butter'})"
0.0504,"frozenset({'Cheese', 'Jam', 'Butter'})"
0.0488,"frozenset({'Cheese', 'Jam', 'Bread'})"
0.0296,"frozenset({'Cheese', 'Jam', 'Milk'})"
0.024,"frozenset({'Cheese', 'Jam', 'Water'})"
0.0464,"frozenset({'Cheese', 'Jam', 'Bread', 'Butter'})"
0.0216,"frozenset({'Cheese', 'Jam', 'Milk', 'Butter'})"
0.0204,"frozenset({'Cheese', 'Milk', 'Jam', 'Bread'})"
0.036,"frozenset({'Shampoo', 'Water'})"
0.0244,"frozenset({'Shampoo', 'Soda'})"
0.0212,"frozenset({'Shampoo', 'Tea'})"
0.02,"frozenset({'Shampoo', 'Cookies'})"
0.0376,"frozenset({'Shampoo', 'Milk'})"
0.0336,"frozenset({'Shampoo', 'Bread'})"
0.0324,"frozenset({'Shampoo', 'Butter'})"
0.026,"frozenset({'Shampoo', 'Jam'})"
0.0232,"frozenset({'Shampoo', 'Tomato Sauce'})"
0.0224,"frozenset({'Shampoo', 'Cheese'})"
0.0204,"frozenset({'Shampoo', 'Eggs'})"
0.0256,"frozenset({'Shampoo', 'Sugar'})"
0.024,"frozenset({'Shampoo', 'Coffee'})"
0.0204,"frozenset({'Shampoo', 'Yogurt'})"
0.0272,"frozenset({'Shampoo', 'Bread', 'Butter'})"
0.1736,"frozenset({'Pasta', 'Tomato Sauce'})"
0.0696,"frozenset({'Pasta', 'Bread'})"
0.0636,"frozenset({'Pasta', 'Butter'})"
0.0448,"frozenset({'Pasta', 'Eggs'})"
0.0412,"frozenset({'Yogurt', 'Pasta'})"
0.1208,"frozenset({'Cheese', 'Pasta'})"
0.0508,"frozenset({'Pasta', 'Jam'})"
0.0444,"frozenset({'Pasta', 'Baby Wipes'})"
0.0936,"frozenset({'Pasta', 'Milk'})"
0.0804,"frozenset({'Pasta', 'Water'})"
0.0592,"frozenset({'Pasta', 'Sugar'})"
0.0588,"frozenset({'Coffee', 'Pasta'})"
0.0544,"frozenset({'Soda', 'Pasta'})"
0.0492,"frozenset({'Pasta', 'Tea'})"
0.0456,"frozenset({'Pasta', 'Cookies'})"
0.0588,"frozenset({'Pasta', 'Tomato Sauce', 'Bread'})"
0.0372,"frozenset({'Cheese', 'Pasta', 'Bread'})"
0.0308,"frozenset({'Pasta', 'Milk', 'Bread'})"
0.0236,"frozenset({'Pasta', 'Water', 'Bread'})"
0.0368,"frozenset({'Cheese', 'Pasta', 'Tomato Sauce', 'Bread'})"
0.0252,"frozenset({'Pasta', 'Milk', 'Tomato Sauce', 'Bread'})"
0.0204,"frozenset({'Pasta', 'Water', 'Bread', 'Tomato Sauce'})"
0.0552,"frozenset({'Pasta', 'Tomato Sauce', 'Butter'})"
0.0532,"frozenset({'Pasta', 'Bread', 'Butter'})"
0.0352,"frozenset({'Cheese', 'Pasta', 'Butter'})"
0.0304,"frozenset({'Pasta', 'Milk', 'Butter'})"
0.0232,"frozenset({'Pasta', 'Water', 'Butter'})"
0.0456,"frozenset({'Pasta', 'Tomato Sauce', 'Bread', 'Butter'})"
0.0348,"frozenset({'Cheese', 'Pasta', 'Tomato Sauce', 'Butter'})"
0.0296,"frozenset({'Cheese', 'Pasta', 'Bread', 'Butter'})"
0.0292,"frozenset({'Cheese', 'Tomato Sauce', 'Pasta', 'Bread', 'Butter'})"
0.026,"frozenset({'Pasta', 'Tomato Sauce', 'Milk', 'Butter'})"
0.0248,"frozenset({'Pasta', 'Milk', 'Bread', 'Butter'})"
0.0208,"frozenset({'Tomato Sauce', 'Pasta', 'Bread', 'Milk', 'Butter'})"
0.0208,"frozenset({'Pasta', 'Water', 'Tomato Sauce', 'Butter'})"
0.038,"frozenset({'Pasta', 'Eggs', 'Tomato Sauce'})"
0.0296,"frozenset({'Cheese', 'Pasta', 'Eggs'})"
0.0208,"frozenset({'Pasta', 'Eggs', 'Milk'})"
0.0284,"frozenset({'Cheese', 'Pasta', 'Eggs', 'Tomato Sauce'})"
0.0368,"frozenset({'Yogurt', 'Pasta', 'Tomato Sauce'})"
0.0276,"frozenset({'Cheese', 'Yogurt', 'Pasta'})"
0.0272,"frozenset({'Cheese', 'Yogurt', 'Pasta', 'Tomato Sauce'})"
0.118,"frozenset({'Cheese', 'Pasta', 'Tomato Sauce'})"
0.0428,"frozenset({'Pasta', 'Jam', 'Tomato Sauce'})"
0.036,"frozenset({'Pasta', 'Jam', 'Butter'})"
0.036,"frozenset({'Pasta', 'Jam', 'Bread'})"
0.0284,"frozenset({'Cheese', 'Pasta', 'Jam'})"
0.0224,"frozenset({'Pasta', 'Jam', 'Milk'})"
0.0296,"frozenset({'Pasta', 'Jam', 'Tomato Sauce', 'Butter'})"
0.0348,"frozenset({'Pasta', 'Jam', 'Bread', 'Butter'})"
0.0296,"frozenset({'Pasta', 'Jam', 'Bread', 'Tomato Sauce'})"
0.0284,"frozenset({'Tomato Sauce', 'Jam', 'Pasta', 'Bread', 'Butter'})"
0.028,"frozenset({'Cheese', 'Pasta', 'Jam', 'Tomato Sauce'})"
0.0364,"frozenset({'Pasta', 'Tomato Sauce', 'Baby Wipes'})"
0.0252,"frozenset({'Cheese', 'Pasta', 'Baby Wipes'})"
0.0244,"frozenset({'Cheese', 'Pasta', 'Tomato Sauce', 'Baby Wipes'})"
